"species1","species2","D","p_eqD","CI_eqD_lower","CI_eqD_upper","p_sim1D","CI_sim1D_lower","CI_sim1D_upper","p_sim2D","CI_sim2D_lower","CI_sim2D_upper"
"Hillia_illustris","Hillia_wurdackii",0.116275338205895,0.99009900990099,0.170067767995279,0.244164138907835,0.0495049504950495,0,0.0956504246879183,0.0495049504950495,0,0.107216028332007
"Hillia_killipii","Hillia_longifilamentosa",0.454275466916398,0.267326732673267,0.236968404136039,0.541052932073015,0.0099009900990099,0,0.1968819764865,0.0099009900990099,0,0.204905519384436
"Hillia_killipii","Hillia_loranthoides",0.572505152229648,0.0297029702970297,0.288620158004613,0.540279695988035,0.0099009900990099,0,0.251970886266368,0.0099009900990099,0,0.184914683739635
"Hillia_killipii","Hillia_macromeris",0.0714911567666781,0.97029702970297,0.0949890443221567,0.585088183890975,0.128712871287129,0,0.132600880475976,0.108910891089109,0,0.127429435045843
"Hillia_killipii","Hillia_macrophylla_SA",0.60282274089204,0.574257425742574,0.441124906320813,0.750822636569189,0.0396039603960396,0,0.548155220408765,0.0693069306930693,0,0.609918008480483
"Hillia_killipii","Hillia_macrophylla_CA",0.188244288670037,0.762376237623762,0.108444684402212,0.438911182375166,0.0396039603960396,0,0.150421794209148,0.0396039603960396,0,0.150599799616939
"Hillia_killipii","Hillia_maxonii",0.0886269757800699,0.900990099009901,0.0713455385247519,0.445668464407863,0.0198019801980198,0,0.0447301249307264,0.0198019801980198,0,0.0587618938299804
"Hillia_killipii","Hillia_palmana",0.442654905512902,0.267326732673267,0.188537310828257,0.525238704296511,0.0099009900990099,0,0.162090498183491,0.0099009900990099,0,0.192984582838072
"Hillia_killipii","Hillia_panamensis",0.570323623760245,0.0099009900990099,0.283914659815624,0.502565001614223,0.0099009900990099,0,0.281905634436773,0.0198019801980198,0,0.251072924319841
"Hillia_killipii","Hillia_parasitica",0.0903787365323969,0.99009900990099,0.134787376198239,0.390523074508104,0.0396039603960396,0.000153412206042625,0.0769921689850715,0.0297029702970297,0.00084220708441754,0.0667647157966874
"Hillia_killipii","Hillia_pumila",0.252016005828502,0.900990099009901,0.217461806440144,0.711320959833635,0.108910891089109,0,0.410185988172482,0.178217821782178,0,0.463611922094683
"Hillia_killipii","Hillia_tetrandra",0.576367708743944,0.0099009900990099,0.151725652635368,0.378261173601245,0.0099009900990099,0,0.205788111647865,0.0099009900990099,0,0.280670644928809
"Hillia_killipii","Hillia_triflora_var._pittieri",0.236553343282319,1,0.328294014913204,0.547759390760489,0.0198019801980198,0,0.142132650828717,0.0297029702970297,0,0.150658513689753
"Hillia_killipii","Hillia_triflora_var._triflora",0.546268682842059,0.0099009900990099,0.278661458154009,0.492296036325649,0.0099009900990099,0,0.11546313773096,0.0099009900990099,0,0.128710223769193
"Hillia_killipii","Hillia_ulei",0.182270740589323,0.673267326732673,0.0689673404197444,0.467687499470373,0.0198019801980198,0,0.0961819692327669,0.0396039603960396,0,0.142735688942815
"Hillia_killipii","Hillia_wurdackii",0.241050767819204,1,0.39406529577218,0.708500764202969,0.207920792079208,0,0.675766649004002,0.158415841584158,0,0.62595082987146
"Hillia_longifilamentosa","Hillia_loranthoides",0.405687970993572,0.504950495049505,0.213045573820407,0.656258809363833,0.0099009900990099,0,0.252983090725068,0.0198019801980198,0,0.297367500653449
"Hillia_longifilamentosa","Hillia_macromeris",0.0517124462347875,0.940594059405941,0.0409923148116651,0.408374870038401,0.653465346534653,0.000205486567421503,0.354937850329688,0.584158415841584,0,0.335388337632777
"Hillia_longifilamentosa","Hillia_macrophylla_SA",0.352976253162768,0.643564356435644,0.227962199297003,0.507248330743437,0.0198019801980198,0,0.136404104435221,0.0099009900990099,0,0.151471400825418
"Hillia_longifilamentosa","Hillia_macrophylla_CA",0.0786088125066949,0.95049504950495,0.0982303701612908,0.681907297159335,0.306930693069307,0,0.370410272625018,0.306930693069307,0,0.350360881045183
"Hillia_longifilamentosa","Hillia_maxonii",0.0653141255930365,0.603960396039604,0.0242624166572065,0.334344491245987,0.633663366336634,0.000226860448228827,0.293392189219401,0.623762376237624,0.000437409216758461,0.281685362746248
"Hillia_longifilamentosa","Hillia_palmana",0.548780192996494,0.386138613861386,0.214020212858049,0.740213794940138,0.178217821782178,0.000234315994581996,0.735888228821569,0.178217821782178,0.000290057481670286,0.751588375184879
