Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]
189	-14.02181	-16.35283	2.331024	0.02860019	0.0286002	0.0286002	0.0286002	0.0286002	0.0286002	0.0286002
190	-13.69149	-16.07883	2.387333	0.02518466	0.0251847	0.0251847	0.0251847	0.0251847	0.0251847	0.0251847
191	-13.90663	-16.25657	2.349941	0.02745274	0.0274527	0.0274527	0.0274527	0.0274527	0.0274527	0.0274527
192	-14.27329	-16.56478	2.291487	0.03099828	0.0309983	0.0309983	0.0309983	0.0309983	0.0309983	0.0309983
193	-13.43684	-15.87439	2.437558	0.02213826	0.0221383	0.0221383	0.0221383	0.0221383	0.0221383	0.0221383
194	-13.61765	-16.01868	2.401028	0.02435402	0.024354	0.024354	0.024354	0.024354	0.024354	0.024354
195	-13.43995	-15.87683	2.436879	0.02217941	0.0221794	0.0221794	0.0221794	0.0221794	0.0221794	0.0221794
196	-14.11359	-16.42994	2.31635	0.02949024	0.0294902	0.0294902	0.0294902	0.0294902	0.0294902	0.0294902
197	-13.82798	-16.19123	2.363253	0.02664526	0.0266453	0.0266453	0.0266453	0.0266453	0.0266453	0.0266453
198	-13.32221	-15.7866	2.464394	0.02051047	0.0205105	0.0205105	0.0205105	0.0205105	0.0205105	0.0205105
199	-13.80509	-16.17229	2.367198	0.02640602	0.026406	0.026406	0.026406	0.026406	0.026406	0.026406
200	-13.90737	-16.25719	2.349818	0.0274602	0.0274602	0.0274602	0.0274602	0.0274602	0.0274602	0.0274602
201	-15.49676	-17.61157	2.114814	0.04171453	0.0417145	0.0417145	0.0417145	0.0417145	0.0417145	0.0417145
202	-14.39756	-16.67017	2.272612	0.03214321	0.0321432	0.0321432	0.0321432	0.0321432	0.0321432	0.0321432
203	-13.94543	-16.28893	2.343499	0.02784347	0.0278435	0.0278435	0.0278435	0.0278435	0.0278435	0.0278435
204	-15.61632	-17.71444	2.098123	0.04272697	0.042727	0.042727	0.042727	0.042727	0.042727	0.042727
205	-13.37565	-15.82702	2.451372	0.02130035	0.0213003	0.0213003	0.0213003	0.0213003	0.0213003	0.0213003
206	-13.67833	-16.06806	2.389736	0.02503895	0.025039	0.025039	0.025039	0.025039	0.025039	0.025039
207	-13.21633	-15.71103	2.494702	0.01867213	0.0186721	0.0186721	0.0186721	0.0186721	0.0186721	0.0186721
208	-13.21633	-15.71103	2.494702	0.01867213	0.0186721	0.0186721	0.0186721	0.0186721	0.0186721	0.0186721
209	-14.64082	-16.87737	2.236554	0.03433033	0.0343303	0.0343303	0.0343303	0.0343303	0.0343303	0.0343303
210	-13.95074	-16.29336	2.342623	0.02789663	0.0278966	0.0278966	0.0278966	0.0278966	0.0278966	0.0278966
211	-13.57522	-15.98439	2.409166	0.02386038	0.0238604	0.0238604	0.0238604	0.0238604	0.0238604	0.0238604
212	-13.10762	-15.66886	2.561241	0.01463616	0.0146362	0.0146362	0.0146362	0.0146362	0.0146362	0.0146362
213	-13.1096	-15.67818	2.56858	0.01419101	0.014191	0.014191	0.014191	0.014191	0.014191	0.014191
214	-14.8219	-17.03219	2.210282	0.03592386	0.0359239	0.0359239	0.0359239	0.0359239	0.0359239	0.0359239
215	-13.15138	-15.67157	2.520197	0.01712573	0.0171257	0.0171257	0.0171257	0.0171257	0.0171257	0.0171257
216	-13.49358	-15.9191	2.425518	0.02286856	0.0228686	0.0228686	0.0228686	0.0228686	0.0228686	0.0228686
217	-13.48947	-15.91584	2.426369	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169
218	-13.48947	-15.91584	2.426369	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169
219	-13.48947	-15.91584	2.426369	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169	0.0228169
220	-13.10945	-15.66211	2.552662	0.01515652	0.0151565	0.0151565	0.0151565	0.0151565	0.0151565	0.0151565
221	-13.10945	-15.66211	2.552662	0.01515652	0.0151565	0.0151565	0.0151565	0.0151565	0.0151565	0.0151565
222	-13.20913	-15.82258	2.613454	0.01146914	0.0114691	0.0114691	0.0114691	0.0114691	0.0114691	0.0114691
223	-13.20913	-15.82258	2.613454	0.01146914	0.0114691	0.0114691	0.0114691	0.0114691	0.0114691	0.0114691
224	-14.01833	-16.71109	2.692767	0.006658326	0.00665833	0.00665833	0.00665833	0.00665833	0.00665833	0.00665833
225	-13.28674	-15.9155	2.628762	0.0105406	0.0105406	0.0105406	0.0105406	0.0105406	0.0105406	0.0105406
